Produto,CAS,Descrição,DataSheet
khellin,82-02-0,"4,9-dimethoxy-7-methylfurano(3,2-g)chromen-5-one;4,9-dimethoxy-7-methyl-5H-furo[3,2-g]chromen-5-one",https://chemicals.logicwebsites.com/data-sheets/4351.pdf
"3,9-dibromobenzanthrone",81-98-1,"Dibromobenzanthrone;;3,9-dibromo-7H-benzo[de]anthracen-7-one",https://chemicals.logicwebsites.com/data-sheets/4350.pdf
"3-bromobenz(d,e)anthracen-7-one",81-96-9,3-Bromo-7H-Benz[De] Anthracen-7-One;3-Bromobenzanthrone;3-bromo-7H-benzo[de]anthracen-7-one;BROMOBENZANTHRONE(3-),https://chemicals.logicwebsites.com/data-sheets/4349.pdf
"3,7-diamino-5-phenylphenazinium chloride",81-93-6,"C.I. 50200;Phenosafranine;3,7-diamino-5-phenylphenazin-5-ium chloride",https://chemicals.logicwebsites.com/data-sheets/4348.pdf
Rhodamine B,81-88-9,"Basic Rhodamine B;Basic violet 10(C.I.45170);C.I. 45170;C.I. Basic Violet 10;C.I. Food Red 15;C.I. No. 45170;Rhodamine B;Basic Violet 10;Tetraethylrhodamine;Rhodamine B solution;rhodamine B for microscopy;rhodamine B (laser dye);Basic Violet 10 (C.I.);9-(2-carboxyphenyl)-3,6-bis(diethylamino)xanthylium chloride;N-[9-(2-carboxyphenyl)-6-(diethylamino)-3H-xanthen-3-ylidene]-N-ethylethanaminium chloride;Basic rose red;Basic Viloet10;C.I.Basic Violet 10",https://chemicals.logicwebsites.com/data-sheets/4347.pdf
"4-Bromo-1,8-Naphthalic Anhydride",81-86-7;21563-29-1,"1H,3H-Naphtho(1,8-cd)pyran-1,3-dione, 6-bromo-;6-bromo-1H,3H-benzo[de]isochromene-1,3-dione",https://chemicals.logicwebsites.com/data-sheets/4346.pdf
"1,8-Naphthalic anhydride",81-84-5,,https://chemicals.logicwebsites.com/data-sheets/4345.pdf
"1,8-Naphthalimide",81-83-4,"naphthalene-1,8-dicarboximide;1H-benzo[de]isoquinoline-1,3(2H)-dione;naphthalene-1,8-dicarboxamide",https://chemicals.logicwebsites.com/data-sheets/4344.pdf
warfarin,81-81-2,3-(A-acetonylbenzyl)4-hydroxycoumarin;4-hydroxy-3-(3-oxo-1-phenylbutyl)coumarin,https://chemicals.logicwebsites.com/data-sheets/4342.pdf
"6,15-dihydroanthrazine-5,9,14,18-tetrone",81-77-6,"C.I. 69800;C.I. Pigment Blue 60;C.I. 1106;C.I. Vat Blue 4;C.I. wet blue 4;6,15-dihydronaphtho[1,2-a:12-h]phenazin-5,9,14,18-tetrone;Indanthrone;Vat Blue 4;pigment blue 60;Vat Blue RSN;Vat Blue RD;C.I.Vat Blue 4;Vat Blue 4;6,15-dihydrodinaphtho[2,3-a:2',3'-h]phenazine-5,9,14,18-tetrone;6,15-dihydro-5,9,14,18-anthrazinetetrone",https://chemicals.logicwebsites.com/data-sheets/4341.pdf
Hydroxynitroanthraquinone; 97%,81-65-2,"1-Hydroxy-4-nitroanthraquinone;1-Hydroxy-4-nitro-9,10-dihydroanthracene-9,10-dione;1-hydroxy-4-nitroanthracene-9,10-dione",https://chemicals.logicwebsites.com/data-sheets/4339.pdf
"1,4-Dihydroxyanthraquinone",81-64-1,"Quinizarine;1,4-Dihydroxy-anthraquinone:",https://chemicals.logicwebsites.com/data-sheets/4338.pdf
1-Amino-4-bromo anthraquinone,81-62-9,"1-Amino-4-bromo-9,10-anthraquinone;",https://chemicals.logicwebsites.com/data-sheets/4336.pdf
"1,4,5,8-Tetrahydroxyanthraquinone",81-60-7,"1,4,5,8-Tetrahydroxy Anthraquinone;1,4,5,8-Tetrahydroxy-9,10-anthracenedione;1,4,5,8-tetrahydroxyanthracene-9,10-dione",https://chemicals.logicwebsites.com/data-sheets/4335.pdf
"1,4,5,8-Tetrachloroanthraquinone",81-58-3,"9,10-Anthracenedione, 1,4,5,8-tetrachloro-;1,4,5,8-Tetrachloro-9,10-anthraquinone;NSC 513487;Anthraquinone, 1,4,5,8-tetrachloro-;1,4,5,8-tetrachloroanthracene-9,10-dione;1,4,5,8-Tetrachloro anthraquinone",https://chemicals.logicwebsites.com/data-sheets/4334.pdf
"1,8-Dihydroxy-4,5-dinitroanthraquinone",81-55-0,"1,8-Dihydroxy-4,5-dinitro-9,10-anthraquinone;1,8-dihydroxy-4,5-dinitroanthra-9,10-quinone;9,10-anthracenedione, 1,8-dihydroxy-4,5-dinitro-;1,8-dihydroxy-4,5-dinitroanthracene-9,10-dione;1,8-Dihydroxy-4,5-Dinitro anthraquinone;1,8-dihydroxy-4,5-dinitro-10-anthracenedione",https://chemicals.logicwebsites.com/data-sheets/4333.pdf
"1,2,4-trihydroxyanthraquinone",81-54-9,,https://chemicals.logicwebsites.com/data-sheets/4332.pdf
"1-amino-2,4-dibromoanthraquinone",81-49-2,"1-Amino-2,4-dibromoanthraquinone,97%;1-Amino-2,4-dibromo-9,10-anthracenedione;1-amino-2,4-dibromoanthracene-9,10-dione",https://chemicals.logicwebsites.com/data-sheets/4331.pdf
1-hydroxy-4-(p-toluidino)anthraquinone,81-48-1,C.I. 60725;C.I. Disperse Blue 72;C.I. Solvent Violet 13;Alizurol purple;Quinizarin blue;Solvent Violet 13;C.I.Solvent Violet 13;Violet B;Plast violet 4001,https://chemicals.logicwebsites.com/data-sheets/4330.pdf
"1,4-Diamino-2,3-dichloroanthraquinone",81-42-5,"Disperse Violet 28;Dispersed Violet 28;1,4-diamido-2,3-dichloroanthraquinone;1,4-diamino-2,3-dichloroanthracene-9,10-dione",https://chemicals.logicwebsites.com/data-sheets/4329.pdf
Diaminodicyanoanthraquinone,81-41-4,"1,4-Diamino-2,3-dicyano-9,10-anthraquinone;1,4-Diamino-2,3-Dichloro Antraquinone;1,4-diamino-9,10-dioxo-9,10-dihydroanthracene-2,3-dicarbonitrile",https://chemicals.logicwebsites.com/data-sheets/4328.pdf
Fluorescent Red H5B,81-39-0,"C.I.Solvent Red 52;Solvent Red 52;Red H5B;3-methyl-6-[(4-methylphenyl)amino]-3H-naphtho[1,2,3-de]quinoline-2,7-dione;Plast red 3007",https://chemicals.logicwebsites.com/data-sheets/4327.pdf
"perylene-3,4:9,10-tetracarboxydiimide",81-33-4,"C.I.Pigment Violet 29;P.V.29;PV-Fast Bordeaux B;Pigment Violet 29;Anthra[2,1,9-def;5,6,10-d'e'f']diisoquinoline-1,3,8,10(2H,9H)-tetrone;3,4,9,10-Perylenetetracarboxylic diimide;3,4,9,10-Perylene tetracarboxylic acid diimide;isoquino[4',5',6':6,5,10]anthra[2,1,9-def]isoquinoline-1,3,8,10(2H,9H)-tetrone;3,4-dicarbamimidoyl-9,10-dicarbamoylperylene-1-carboxylic acid;DINAPHTHALIMIDE;Perylene-3,4,9,10-tetraformyldiimine;PTCDI-C4;3,4,9,10-perylenetetracarboxylic acid diimide;LT-S921;PTCDI",https://chemicals.logicwebsites.com/data-sheets/4326.pdf
"naphthalene-1,4,5,8-tetracarboxylic acid",81-30-1,"Naphthalene-1,4,5,8-tetracarboxylic acid dianhydride;1,4,5,8-Naphthalenetetracarboxylic dianhydride;isochromeno[6,5,4-def]isochromene-1,3,6,8-tetrone;LT-S924;NTDA",https://chemicals.logicwebsites.com/data-sheets/4325.pdf
Sennoside A,81-27-6,"NSC 112929;UNII-2F1O30GVXH;(9,9'-Bianthracene)-2,2'-dicarboxylic acid, 5,5'-bis(beta-D-glucopyranosyloxy)-9,9',10,10'-tetrahydro-4,4'-dihydroxy-10,10'-dioxo-, (R*,R*)-;(9R,9'R)-5,5'-bis(beta-D-glucopyranosyloxy)-4,4'-dihydroxy-10,10'-dioxo-9,9',10,10'-tetrahydro-9,9'-bianthracene-2,2'-dicarboxylic acid;(9R,9'S)-5,5'-bis(alpha-D-glucopyranosyloxy)-4,4'-dihydroxy-10,10'-dioxo-9,9',10,10'-tetrahydro-9,9'-bianthracene-2,2'-dicarboxylic acid;9-[2-carboxy-4-hydroxy-10-oxo-5-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-9H-anthracen-9-yl]-4-hydroxy-10-oxo-5-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-9H-anthracene-2-carboxylic acid;Senna Leaf Extract;FoliumSennae Extract,senna leaf extract",https://chemicals.logicwebsites.com/data-sheets/4324.pdf
Cholic acid,81-25-4,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid;(3alpha,5beta,7alpha,8xi,12alpha,20xi)-3,7,12-trihydroxycholan-24-oic acid;(3alpha,5beta,7alpha,12alpha)-3,7,12-trihydroxycholan-24-oic acid;(4R)-4-[(3S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",https://chemicals.logicwebsites.com/data-sheets/4323.pdf
Dehydrocholic acid,81-23-2,"3,7,12-Trioxo-5beta-cholan-24-oic acid;dehydrocholic acid free acid*crystalline;3,7,12-trioxo-5-beta-cholan-24-oic acid;3,7,12-Triketocholanic acid~3,7,12-Trioxo-5-beta-cholan-24-oic acid;4-[(5S,10S,13R,17R)-10,13-dimethyl-3,7,12-trioxo-1,2,4,5,6,8,9,11,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid;(5beta)-3,7,12-trioxocholan-24-oate",https://chemicals.logicwebsites.com/data-sheets/4321.pdf
Dicyclopentadiene diepoxide,81-21-0,"1,2:5,6-Diepoxyhexahydro-4,7-methanoindane;Dicyclopentadiene dioxide;Bicyclopentadiene diepoxide;2,6-Diepoxyhexahydro-7-methanoindan;octahydro-1aH-2,4-methanoindeno[1,2-b:5,6-b']bisoxirene;1,2:5,6-Diepoxyhexahydro-4,7-methanoindan",https://chemicals.logicwebsites.com/data-sheets/4320.pdf
2-Nitro-m-xylene,81-20-9,"1,3-dimethyl-2-nitrobenzene;2,6-Dimethyl-1-nitrobenzene;2,6-dimethylnitrobenzene;2-Nitro-1,3-dimethylbenzene;",https://chemicals.logicwebsites.com/data-sheets/4319.pdf
"2,6,alpha,alpha-tetrachlorotoluene",81-19-6,"2,6-dichlorobenzylidene chloride;2,6-Dichlorobenzyl Dichloride;alpha,alpha,2,6-Tetrachlorotoluene;1,3-dichloro-2-(dichloromethyl)benzene;2,6-Dichlorobenzal chloride;2,6,α,α-Tetrachlorotoluene",https://chemicals.logicwebsites.com/data-sheets/4318.pdf
Tobias acid,81-16-3,2-Amino-1-naphthalenesulfonic acid;2-aminonaphthalene-1-sulphonic acid;2-Naphthylamine-1-sulfonic acid;2-aminonaphthalene-1-sulfonate,https://chemicals.logicwebsites.com/data-sheets/4317.pdf
Muscone,81-14-1;541-91-3;22460-48-6;956-82-1,"3-Methylcyclopentadecanone;3-Methyl-1-cyclopentadecanone;5-Methyl-1-cyclopentadecanone;AI3-38746;Cyclopentadecanone, 3-methyl-;FEMA No. 3434;HSDB 1219;Methylexaltone;Moschus ketone;3-Methylcyclopentadecan-1-one;3-Methylcyclopentadecanone, dl-;4-tert-butyl-2,6-dimethyl-3,5-dinitroacetophenone;4'-tert-butyl-2',6'-dimethyl-3',5'-dinitroacetophenone;1-(4-tert-butyl-2,6-dimethyl-3,5-dinitrophenyl)ethanone;Musk Ketone",https://chemicals.logicwebsites.com/data-sheets/4315.pdf
Dexpanthenol,81-13-0,"(+)-Panthenol;Alcopan-250;Bepanthen;Cozyme;D-Panthenol;Ilopan;Intrapan;Motilyn;N-pantoyl-3-propanolamine;Pantenyl;Panthoderm;pantothenyl alcohol;pantothenol;pantothenylol;Panyonyl;(R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide;(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide;(2S)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide;D(+)-ALPHA,GAMMA-DIHYDROXY-N-[3-HYDROXYPROPYL]-BETA,BETA-DIMETHYLBUTYRAMIDE",https://chemicals.logicwebsites.com/data-sheets/4314.pdf
"4,4'-Diaminodiphenylethylene-2,2'-disulfonic acid",81-11-8,"2,2'-(1,2-Ethylenediyl)bis(5-aminobenzenesulfonic acid); Amsonic acid;4,4'-Diaminostilbene-2,2'-Disulfonic Acid;2,2'-ethene-1,2-diylbis(5-aminobenzenesulfonic acid);4,4'-Diamino-2,2'-stilbenedisulfonic acid",https://chemicals.logicwebsites.com/data-sheets/4313.pdf
2-Amino-N-ethyl-N-phenylbenzenesulfonamide,81-10-7,2-Amino-N-ethylbenzenesulfonanilide;2-Amino-N-ethyl-N-phenyl benzenesulfonamide;N-Ethyl-N-phenyl-o-aminobenzenesulfonamide;o-Aminobenzene sulfon-N-ethylaniline;SE,https://chemicals.logicwebsites.com/data-sheets/4312.pdf
2-Sulfobenzoic acid cyclic anhydride,81-08-3,2-Sulfobenzoic Anhydride;o-sulfobenzoic anhydride,https://chemicals.logicwebsites.com/data-sheets/4311.pdf
Saccharin,81-07-2,"o-Benzoic sulfimide;Saccharin insoluble;O-benzoic acid sulfimide;1,2-benzisothiazol-3(2H)-one 1,1-dioxide;o-benzoicsulphimide;1,2-benzisothiazol-3-one 1,1-dioxide;1,1-Diox-1,2-benzisothiazol-3-one;1,1-dioxide-1,2-Benzisothiazol-3-(2H)-one;1,2-Benzisothiazol-3(2H)-one-1,1-dioxide;1,2-benzisothiazolin-3-one, 1,1-dioxide;1,2-dihydro-2-ketobenzisosulfonazole;2,3-dihydro-3-oxobenzisosulfonazole;o-benzosulfimide;o-benzoyl sulfimide;o-sulfobenzimide;o-sulfobenzoic acid imide;2-sulfobenzoicimide;3-benzisothiazolinone 1,1-dioxide;3-hydroxybenzisothiazole-S,S-dioxide;550 saccharine;anhydro-o-sulfaminebenzoic acid;benzo-2-sulfimide;benzoic sulfimide;benzosulfimide;benzosulfinide;garantose;glucid;gluside;hermesetas;insoluble saccharin;kandiset;natreen;sacarina;saccharimide;saccharin acid;saccharinol;saccharinose;saccharol;sucre edulcor;sucrette;syncal;zaharina;insoluble saccharin;o-sulfonylbenzoylimine",https://chemicals.logicwebsites.com/data-sheets/4310.pdf
2-aminonaphthalene-5-sulfonic acid,81-05-0,"6-Aminonaphthalene-1-sulphonic acid;2-Naphthylamine-5-sulfonic acid;6-Amino-1-naphthalenesulfonic acid;Gycolan Green BFL;1-Naphthalenesulfonic acid, 6-amino-;6-aminonaphthalene-1-sulfonic acid;2-Amino-5-naphthalenesulfonic acid",https://chemicals.logicwebsites.com/data-sheets/4309.pdf
"1,5-Naphthalene disulfonic Acid",81-04-9,"naphthalene-1,5-disulfonic acid",https://chemicals.logicwebsites.com/data-sheets/4308.pdf
solanidine from potato,80-78-4,Solanidine;(3beta)-solanid-5-en-3-ol;solanid-5-en-3-ol,https://chemicals.logicwebsites.com/data-sheets/4306.pdf
chlormezanone,80-77-3,"(±)-Chlormezanone;2-(4-Chlorophenyl)-3-methyl-1,3-thiazinan-4-one 1,1-dioxide;2-(4-Chlorophenyl)-3-methyl-4-metathiazanone 1,1-Dioxide;2-(4-Chlorophenyl)tetrahydro-3-methyl-4H-1,3-thiazin-4-one 1,1-dioxide;2-(p-Chlorophenyl)perhydro-3-methyl-1,3-thiazin-4-one 1,1-Dioxide;201-307-4;4H-1,3-Thiazin-4-one, 2-(4-chlorophenyl)tetrahydro-3-methyl-, 1,1-dioxide;Dichloromethazanone;Lobak",https://chemicals.logicwebsites.com/data-sheets/4305.pdf
11Alpha-Hydroxyprogesterone,80-75-1,"11alpha-Hydroxy-4-pregnene-3,20-dione;11A-hydroxyprogesterone;11-alpha-hydroxypregn-4-ene-3,20-dione;11-alpha-Hydroxyprogesterone;(11alpha)-11-hydroxypregn-4-ene-3,20-dione;(11alpha,17xi)-11-hydroxypregn-4-ene-3,20-dione",https://chemicals.logicwebsites.com/data-sheets/4304.pdf
"N-3,4-dimethylisoxazol-5-yl-N-sulfanilylacetamide",80-74-0,"SULFISOXAZOLE ACETYL (200 MG) ;Acetamide, N-[(4-aminophenyl)sulfonyl]-N-(3,4-dimethyl-5-isoxazolyl)- ;Acetyl sulfisoxazole ;Lipo Gantrisin ;N-(3,4-Dimethyl-5-isoxazolyl)-N-sulfanilylacetamide ;N-Acetyl-4-amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulfonamide ;Sulfisoxazole Acetyl ;N-3,4-dimethylisoxazol-5-yl-N-sulphanilylacetamide ;acetylsulfafurazole ;N1-Acetylsulfisoxazole;Acetylsulfisoxazole;ASIZ ;N-[(4-aminophenyl)sulfonyl]-N-(3,4-dimethyl-1,2-oxazol-5-yl)acetamide;N-{4-[(3,4-dimethyl-1,2-oxazol-5-yl)sulfamoyl]phenyl}acetamide",https://chemicals.logicwebsites.com/data-sheets/4303.pdf
"1,3-Dimethyl-2-imidazolidinone",80-73-9,"DMI;N,N-Dimethylethyleneurea;1,3-Dimethylimidazolidinone;NN-Dimethylethyleneurea;N,N'-Dimethylethyleneurea;1,3-Dimethyl-2-imidazolidone;N,N'-Dimethyl-2-imidazolidinone;Rhonite 1;Karbomos TsEM;1,3-dimethyl imidazolinone;(1, 3-Dimethyl-2-imidazolidinone;1,3-dimethylimidazolidin-2-one;1,3-dimethyl-2-imidazolinone",https://chemicals.logicwebsites.com/data-sheets/4302.pdf
"3-Methyl-1,2-cyclopentanedione",80-71-7;765-70-8,"2-Hydroxy-3-methyl-2-cyclopenten-1-one;3-Methylcyclopentane-1,2-dione;(3S)-3-methylcyclopentane-1,2-dione;(3R)-3-methylcyclopentane-1,2-dione;Maple Lactone;2-hydroxy-3-methylcyclopent-2-enone;Methylcyclopentenolone;Methyl cyclopentenolone;Methyl cyclopentenlone",https://chemicals.logicwebsites.com/data-sheets/4301.pdf
"1,1,3,3-Tetramethylguanidine",80-70-6,"N,N,N',N'-tetramethyl-guanidine;N,N'-tetramethylguanidine;Tetramethylguanidine;TMG;1,1,3,3-Tetermethyl Guanidine ;N-[amino(dimethylamino)methylidene]-N-methylmethanaminium",https://chemicals.logicwebsites.com/data-sheets/4300.pdf
Tartronic acid,80-69-3,"2-Hydroxypropanedioic acid;Malonic Acid, Hydroxy-;NSC 36171;Propanedioic acid, hydroxy-;hydroxypropanedioate;hydroxypropanedioic acid",https://chemicals.logicwebsites.com/data-sheets/4299.pdf
DL-Threonine,80-68-2,(+/-)-2-Amino-3-hydroxybutyric acid;H-DL-Thr-OH,https://chemicals.logicwebsites.com/data-sheets/4298.pdf
3-aminooxazolidin-2-one,80-65-9,"3-Amino-2-oxazolidinone;3-Amino-2-oxazolidone;NSC 111187;2-Oxazolidinone, 3-amino-;3-amino-1,3-oxazolidin-2-one",https://chemicals.logicwebsites.com/data-sheets/4297.pdf
methyl 2-chloroacrylate,80-63-7,"2-Chloroacrylic acid, methyl ester;2-Propenoic acid, 2-chloro-, methyl ester;Acrylic acid, 2-chloro-, methyl ester;BRN 1421536;HSDB 5238;Methyl 2-chloro-2-propenoate;Methyl alpha-chloroacrylate;Methyl-2-chloroacrylate;Methyl-alpha-chloroacrylate;Methylester kyseliny 2-chlorakrylove;Methylester kyseliny 2-chlorakrylove [Czech];NSC 32608;Propenoic acid, 2-chloro-, methyl ester;2-Propenoic acid, 2-chloro-, methyl ester (9CI);methyl 2-chloroprop-2-enoate;Methyl 2-chloropropenoate",https://chemicals.logicwebsites.com/data-sheets/4296.pdf
Methyl methacrylate,80-62-6,MMA;Methacrylic acid methyl ester;2-Methylacrylic acid methyl ester;METHYL METACRYLATE;Methyl Methyl Acrylate,https://chemicals.logicwebsites.com/data-sheets/4295.pdf
"trans-2,3-Dimethylacrylic acid",80-59-1,Tiglic acid,https://chemicals.logicwebsites.com/data-sheets/4293.pdf
2-Bromobutyric acid,80-58-0,"2-Bromobutanoic acid;alpha-Bromobutyric acid;2-bromo-butanoicaci;alpha-Bromobytyric acid;Butanoic acid, 2-bromo-;Butyric acid, 2-bromo-;Butyric acid, alpha-bromo-;dl-2-Bromobutyric acid;dl-2-Bromobutyricacid;α-Bromobutyricacid;(2S)-2-bromobutanoic acid;(2R)-2-bromobutanoate;(2S)-2-bromobutanoate;Bromobutyric",https://chemicals.logicwebsites.com/data-sheets/4292.pdf
alpha-pinene,2437-95-8;80-56-8,"2,6,6-trimethylbicyclo(3.1.1)-2-hept-2-ene;2,6,6-trimethylbicyclo(3.1.1)hept-2-ene;2-pinene;4,6,6-trimethylbicyklo(3,1,1)hept-3-en;4,6,6-trimethylbicyklo(3,1,1)hept-3-en [czech];4-05-00-00456 (beilstein handbook reference);ai3-24594;acintene a;bicyclo(3.1.1)hept-2-ene, 2,6,6-trimethyl;fema number 2902;monoterpenes;pinene, alpha;pinene isomer;alpha-pinene (natural);2-pinene (8ci);bicyclo(3.1.1)hept-2-ene, 2,6,6-trimethyl-;dl-pin-2(3)-ene;un2368;alpha-pinene [un2368] [flammable liquid];pinene (dl-alpha);α-Pinene;(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",https://chemicals.logicwebsites.com/data-sheets/4290.pdf
Ethyl 2-hydroxyisobutyrate,80-55-7,Ethyl 2-hydroxy-2-methylpropionate~Ethyl 2-methyllactate~2-Hydroxyisobutyric acid ethyl ester;Ethyl 2-methyllactate;2-Hydroxyisobutyric Acid Ethyl Ester;ethyl 2-hydroxy-2-methylpropanoate,https://chemicals.logicwebsites.com/data-sheets/4289.pdf
Lilialdehyde,80-54-6,4-tert-Butyl-alpha-methylhydrocinnamaldehyde;3-(4-tert-Butylphenyl)isobutyraldehyde (beta-);3-(4-tert-butylphenyl)butanal;3-(4-tert-butylphenyl)-2-methylpropanal;(2S)-3-(4-tert-butylphenyl)-2-methylpropanal;Lily aldehyde,https://chemicals.logicwebsites.com/data-sheets/4288.pdf
"1,8-diamino-P-menthane",80-52-4,"p-menthane-1,8-diyldiamine;p-menthane-1,8-diamine;1-methyl-4-(propan-2-yl)cyclohexanato diammoniate",https://chemicals.logicwebsites.com/data-sheets/4287.pdf
Anisotropine Methylbromide,80-50-2,"octatropine methylbromide;(1R,5R)-8,8-dimethyl-3-[(2-propylpentanoyl)oxy]-8-azoniabicyclo[3.2.1]octane bromide;(1R,5S)-8,8-dimethyl-3-[(2-propylpentanoyl)oxy]-8-azoniabicyclo[3.2.1]octane bromide;(3-endo)-8,8-dimethyl-3-[(2-propylpentanoyl)oxy]-8-azoniabicyclo[3.2.1]octane bromide;8,8-dimethyl-3-[(2-propylpentanoyl)oxy]-8-azoniabicyclo[3.2.1]octane bromide",https://chemicals.logicwebsites.com/data-sheets/4285.pdf
Homatropine Methylbromide,80-49-9,"Homatropine methyl bromide;dl-homatropine methyl bromide;N-methylhomatropinium bromide;homatropine methobromide;3-{[hydroxy(phenyl)acetyl]oxy}-8,8-dimethyl-8-azoniabicyclo[3.2.1]octane bromide;(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl hydroxy(phenyl)acetate - bromomethane (1:1);(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl hydroxy(phenyl)acetate",https://chemicals.logicwebsites.com/data-sheets/4284.pdf
Methyl p-toluenesulfonate,80-48-8,methyl para-toluenesulfonate;4-Toluenesulfonic acid methyl ester;Methyl p-tosylate~p-Toluenesulphonic acid methyl ester;Methyl p-tosylate 4-Methylbenzenesulfonic acid methyl ester;P-Toluene sulfonic acid Methyl Ester;methyl 4-methylbenzenesulfonate;PTSM;Methyl p-Toluenesulphonate,https://chemicals.logicwebsites.com/data-sheets/4283.pdf
4-tert-Amylphenol,80-46-6,"p-tert-pentylphenol;p-t-Amylphenol;P-(1,1-dimethylpropyl)phenol;4-t-Pentylphenol;4-(1,1-dimethylpropyl)phenol;p-tert-Amyl phenol",https://chemicals.logicwebsites.com/data-sheets/4281.pdf
"Benzenesulfonic acid,butyl ester",80-44-4,Butylbenzenesulfonate; NSC 3215,https://chemicals.logicwebsites.com/data-sheets/4280.pdf
Dicumyl peroxide,80-43-3,"DicumylperoxideinPolydimethylsiloxane;Bis(alpha,alpha-dimethylbenzyl)peroxide;dicumenyl peroxide;Perkadox BC;1,1'-(dioxydipropane-2,2-diyl)dibenzene;hydrogen peroxide-(1-methylethyl)benzene (1:2);2-(propan-2-ylperoxy)propane-benzene (1:1);Dicumyl peroxide(DCP)",https://chemicals.logicwebsites.com/data-sheets/4279.pdf
propyl benzenesulphonate,80-42-2,"Benzenesulfonic acid, propyl ester;CCRIS 9162;NSC 3216;Propyl benzenesulfonate;Propyl benzenesulphonate",https://chemicals.logicwebsites.com/data-sheets/4278.pdf
2-Chloroethyl-p-toluenesulfonate,80-41-1,2-Chloroethyl p-toluenesulphonate;2-chloroethyl para-toluenesulfonate;p-Toluenesulphonic acid 2-chloroethyl ester;4-Toluenesulfonic acid 2-chloroethyl ester;2-chloroethyl 4-methylbenzenesulfonate;2-Chloroethyl 4-toluenesulfonate;2-Chloroethyl P-Toluenesulfonate,https://chemicals.logicwebsites.com/data-sheets/4277.pdf
Ethyl p-toluenesulfonate,80-40-0,ethyl para-toluenesulfonate;4-Toluenesulfonic Acid Ethyl Ester;Ethyl tosylate~p-Toluenesulphonic acid ethyl ester;Ethyl p-tosylate;Ethyl p-methylbenzenesulfonate;4-Methylbenzenesulfonic acid ethyl ester;ethyl 4-methylbenzenesulfonate,https://chemicals.logicwebsites.com/data-sheets/4276.pdf
N-ethyl-4-methylbenzenesulfonamide,8047-99-2;1321-54-6;80-39-7,"N-ethyl-p-toluenesulfonamide;santicizer 8;toluene ethylsulfonamide;N-Ethyl p-Toluene Sulfonamide;N-ethyl-p-toluenesulphonamide;N-E-PTSA;N-Ethyl-p-toluene sulfonamide;N-ethyl-4-methyl-benzenesulfonamide;N-Ethyl-O/P-Toluenesulfonamide;N-Ethyl-2/4-methylbenzenesulfonamide;n-ethyl o/p toluene sulfonamide;2-ethyl-4-methylbenzenesulfonamide;ethanesulfonamide - methylbenzene (1:1);N-Ethyltoluene-4-sulphonamide;N-ethyl-o,p-toluene sulfonamide;N-Ethyl-O,P-Toluenesulfonamide;N-ethyl-o/p-toluene sulfonamide;N-E-O/PTSA",https://chemicals.logicwebsites.com/data-sheets/4275.pdf
fenson,80-38-6,4-chlorophenyl benzenesulphonate,https://chemicals.logicwebsites.com/data-sheets/4274.pdf
sulfamethoxypyridazine,80-35-3,"N1-(6-methoxypyridazin-3-yl)sulphanilamide;Sulfametoxipiridazine;Sulfanilamide, N1-(6-methoxy-3-pyridazinyl)-;Sulfapyridazine;Sulfdurazin;Sulfozona;Sulphamethoxypyridazine;Sultirene;Surirene;4-amino-N-(6-methoxypyridazin-3-yl)benzenesulfonamide",https://chemicals.logicwebsites.com/data-sheets/4273.pdf
chlorfenson,80-33-1,4-chlorophenyl 4-chlorobenzenesulphonate;4-chlorophenyl 4-chlorobenzenesulfonate,https://chemicals.logicwebsites.com/data-sheets/4272.pdf
sulfachloropyridazine,80-32-0,sulfachlorpyridazine;N1-3-chloropyridazin-6-ylsulphanilamide;SCPD,https://chemicals.logicwebsites.com/data-sheets/4271.pdf
N-cyclohexyltoluene-4-sulphonamide,80-30-8,N-Cyclohoxyltoluene-4-Sulphonamide;N-cyclohexyl-p-toluenesulfonamide;N-cyclohexyl-4-methylbenzenesulfonamide;CTSA,https://chemicals.logicwebsites.com/data-sheets/4270.pdf
(+/-)-alpha-terpinyl acetate,80-26-2,p-menth-1-en-8-yl acetate;Terpinyl Acetate,https://chemicals.logicwebsites.com/data-sheets/4269.pdf
